 serial         player_name              club    position  assists  corner_taken  offsides  dribbles  match_played
0         1     Bruno Fernandes       Man. United  Midfielder        7            10         2         7             7
1         2     Vinícius Júnior       Real Madrid     Forward        6             3         4        83            13
2         2                Sané            Bayern  Midfielder        6             3         3        32            10
3         4              Antony              Ajax     Forward        5             3         4        28             7
4         5    Alexander-Arnold         Liverpool    Defender        4            36         0         9             9
5         5           De Bruyne         Man. City  Midfielder        4            18         0        14            10
6         5              Modrić       Real Madrid  Midfielder        4            10         0         8            13
7         5          João Mário           Benfica  Midfielder        4             8         0         7             8
8         5              Mbappé             Paris     Forward        4             4         8        43             8
9         5       Gerard Moreno        Villarreal     Forward        4             0         3         9             7
10        5              Capoue        Villarreal  Midfielder        4             0         0        17            12
11       12              Parejo        Villarreal  Midfielder        3            36         0         4            12
12       12            Grimaldo           Benfica    Defender        3            11         1        10            10
13       12              Müller            Bayern     Forward        3            10         8         2            10
14       12              Arnold         Wolfsburg  Midfielder        3            10         0         1             6
15       12            Angeliño           Leipzig    Defender        3             8         0         4             5
16       12               Coman            Bayern     Forward        3             4         4        59             9
17       12      Bernardo Silva         Man. City  Midfielder        3             2         3        18            11
18       12          Bellingham          Dortmund  Midfielder        3             1         1        24             6
19       12              Zapata          Atalanta     Forward        3             0         7        10             6
20       12         Lewandowski            Bayern     Forward        3             0         7         1            10
21       12        João Cancelo         Man. City    Defender        3             0         2        26             9
22       12           Cristiano           Sheriff    Defender        3             0         1         7             6
23       24              Mahrez         Man. City  Midfielder        2            30         5        28            12
24       24           Robertson         Liverpool    Defender        2            27         1         9            10
25       24              Ziyech           Chelsea  Midfielder        2            23         0        12             9
26       24            Gündoğan         Man. City  Midfielder        2            16         1         3            10
27       24            Tsimikas         Liverpool    Defender        2            16         0         4             5
28       24               Foden         Man. City  Midfielder        2            13         6        12            11
29       24              Pjanic          Beşiktaş  Midfielder        2             9         0         4             3
30       24            Forsberg           Leipzig     Forward        2             9         0         3             6
31       24        Bernardeschi          Juventus  Midfielder        2             7         1         7             5
32       24              Dahoud          Dortmund  Midfielder        2             7         1         3             4
33       24     Pedro Gonçalves       Sporting CP  Midfielder        2             7         0        10             5
34       24               Mount           Chelsea  Midfielder        2             7         0         6             7
35       24      Douglas Santos             Zenit    Defender        2             6         1         3             5
36       24           Rakitskyy             Zenit    Defender        2             6         0         4             6
37       24               Tadić              Ajax     Forward        2             5         5        13             7
38       24             Asensio       Real Madrid     Forward        2             5         0         1             8
39       24            Aaronson          Salzburg  Midfielder        2             4         5         9             8
40       24             Danjuma        Villarreal  Midfielder        2             3         8        31            11
41       24                Shaw       Man. United    Defender        2             3         1         1             5
